name,artists,year,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,explicit
The Girl Is Mine (with Paul McCartney),"['Michael Jackson', 'Paul McCartney']",1982,60,222040,0.269,0.671,0.636,4.09e-06,0.18,-6.673,0.0558,81.477,0.651,1,9,0
Manic Monday,['The Bangles'],1986,60,184160,0.294,0.685,0.594,3.69e-06,0.358,-10.906,0.0289,121.761,0.853,1,2,0
Hier kommt Alex,['Die Toten Hosen'],1988,60,300360,0.0379,0.307,0.865,3.37e-05,0.151,-5.647,0.074,134.464,0.126,0,2,0
Late in the Evening,['Paul Simon'],1980,60,242707,0.199,0.72,0.88,0.0246,0.0865,-8.988,0.0406,118.623,0.961,1,5,0
"Theme From New York, New York",['Frank Sinatra'],1980,60,206067,0.282,0.408,0.414,0.0,0.153,-11.083,0.0297,107.469,0.576,1,2,0
If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),['Alabama'],1980,60,212667,0.263,0.449,0.645,2.9e-06,0.901,-15.2,0.0385,109.581,0.777,1,9,0
Life's What You Make It - 1997 Remaster,['Talk Talk'],1986,60,268893,0.00367,0.525,0.804,0.285,0.0382,-7.575,0.0321,91.951,0.935,1,1,0
Paul Revere,['Beastie Boys'],1986,60,220840,0.0161,0.883,0.553,0.0,0.228,-13.232,0.944,91.753,0.578,0,6,0
The Winner Takes It All,['ABBA'],1980,60,294733,0.548,0.457,0.785,0.000781,0.082,-6.783,0.0383,126.947,0.522,1,6,0
What I Like About You,['The Romantics'],1980,60,175267,0.282,0.514,0.942,6.6e-05,0.17,-8.433,0.0502,159.847,0.912,1,9,0
Super Trouper,['ABBA'],1980,60,254600,0.457,0.764,0.626,6.35e-06,0.172,-8.274,0.0288,118.324,0.961,1,0,0
Liberian Girl - 2012 Remastered Version,['Michael Jackson'],1987,60,232800,0.464,0.749,0.546,0.00191,0.126,-7.217,0.103,105.232,0.454,0,8,0
Go Your Own Way,['Fleetwood Mac'],1988,60,218400,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823,1,5,0
Simple Man,['The Charlie Daniels Band'],1989,60,202507,0.654,0.592,0.383,0.0,0.0982,-13.076,0.0494,78.954,0.485,1,9,0
Maquillaje,['Mecano'],1982,60,152600,0.581,0.71,0.923,8.72e-05,0.109,-4.986,0.0865,118.438,0.938,0,4,0
Tu Dama de Hierro,['Marisela'],1989,60,195533,0.403,0.708,0.423,6.52e-06,0.209,-15.776,0.0282,114.539,0.584,0,2,0
This Night Has Opened My Eyes - 2011 Remaster,['The Smiths'],1984,60,221533,0.00102,0.696,0.628,0.428,0.272,-8.407,0.0274,100.038,0.701,1,2,0
Bete Balanço,['Barão Vermelho'],1984,59,213933,0.416,0.782,0.705,0.00179,0.0743,-9.16,0.038,116.967,0.902,0,11,0
Elvira,['The Oak Ridge Boys'],1981,59,225627,0.188,0.825,0.285,0.00131,0.0539,-17.491,0.0326,126.946,0.86,1,8,0
Gypsy Road,['Cinderella'],1988,59,235733,0.00566,0.524,0.886,0.00182,0.331,-9.154,0.0385,132.446,0.511,1,9,0
Head Like A Hole,['Nine Inch Nails'],1989,59,299640,0.00787,0.663,0.792,0.00183,0.582,-11.255,0.0456,115.386,0.443,1,9,0
Wild Thing,['Tone-Loc'],1989,59,263573,0.000507,0.943,0.685,8.56e-06,0.0604,-11.903,0.188,125.515,0.813,1,7,0
Chattahoochee - Extended Mix,['Alan Jackson'],1989,59,237267,0.121,0.579,0.801,7.58e-05,0.0821,-7.454,0.0449,174.755,0.972,1,0,0
I Can't Drive 55,['Sammy Hagar'],1984,59,254467,0.00214,0.537,0.645,3.21e-05,0.0911,-12.362,0.0308,133.745,0.848,1,9,0
You Might Think,['The Cars'],1984,59,184717,0.109,0.728,0.855,0.000576,0.113,-6.031,0.0333,133.887,0.971,1,2,0
The Passenger,['Siouxsie and the Banshees'],1987,59,309307,0.0309,0.457,0.93,6.27e-05,0.135,-4.544,0.0673,139.819,0.294,0,2,0
Hello,['Lionel Richie'],1983,59,251107,0.414,0.487,0.246,0.0,0.0983,-14.104,0.0376,61.084,0.0562,0,9,0
No Tengo Dinero,['Juan Gabriel'],1987,59,186373,0.71,0.738,0.443,0.0,0.23,-9.675,0.0487,120.587,0.927,1,9,0
Who's Crying Now,['Journey'],1981,59,300147,0.0548,0.57,0.554,0.0,0.139,-9.732,0.0288,122.135,0.372,0,9,0
We Got The Beat,"[""The Go-Go's""]",1981,59,153133,0.155,0.587,0.994,0.0734,0.0319,-5.61,0.045,151.941,0.481,1,2,0
My Kinda Lover - Remastered,['Billy Squier'],1981,59,213533,0.468,0.534,0.461,6.43e-05,0.036,-6.603,0.0361,95.105,0.783,0,9,0
Trois nuits par semaine,['Indochine'],1985,59,312533,0.0176,0.74,0.783,0.000645,0.0877,-13.726,0.0292,137.292,0.906,0,9,0
The Loco-Motion,['Kylie Minogue'],1988,59,193920,0.385,0.748,0.915,0.0585,0.0235,-5.23,0.0376,129.0,0.763,1,3,0
The Sweetest Taboo,['Sade'],1985,59,277153,0.128,0.752,0.824,0.0103,0.306,-9.455,0.0447,91.563,0.961,0,10,0
Our House,['Madness'],1983,59,201133,0.0285,0.601,0.649,7.71e-05,0.127,-10.57,0.0554,121.66,0.708,1,7,0
Authority Song,['John Mellencamp'],1983,59,229240,0.00399,0.495,0.969,2.55e-05,0.404,-4.994,0.0427,156.135,0.966,1,2,0
Via con me,['Paolo Conte'],1981,59,166160,0.752,0.625,0.472,0.00298,0.154,-16.407,0.153,163.41,0.739,1,5,0
Seek & Destroy (Remastered),['Metallica'],1983,59,414720,0.0364,0.439,0.963,0.00896,0.0784,-5.508,0.277,140.805,0.435,1,9,0
Wishing Well,"[""Terence Trent D'Arby""]",1987,59,210467,0.0965,0.855,0.461,0.0,0.201,-13.096,0.0564,104.96,0.833,0,10,0
There's No Easy Way,['James Ingram'],1983,59,227293,0.689,0.563,0.184,0.0,0.129,-16.386,0.0417,128.048,0.194,1,8,0
Two Strong Hearts,['John Farnham'],1988,59,213333,0.0833,0.646,0.839,0.0,0.315,-8.178,0.0332,109.854,0.834,1,2,0
Texas Flood,['Stevie Ray Vaughan'],1983,59,320907,0.000788,0.256,0.423,0.402,0.25,-11.994,0.035,173.27,0.441,1,6,0
Heavy Metal,['Sammy Hagar'],1981,59,230507,0.0178,0.276,0.639,0.0,0.292,-11.674,0.0471,186.502,0.643,1,2,0
Castillos,['Amanda Miguel'],1983,59,261982,0.715,0.528,0.284,0.181,0.127,-14.52,0.033,118.388,0.233,1,9,0
What About Love?,['Heart'],1985,59,221671,0.295,0.246,0.631,0.0,0.321,-7.067,0.0377,160.633,0.3,0,2,0
Ji Ji Ji,['Patricio Rey y sus Redonditos de Ricota'],1986,59,334600,0.0047,0.476,0.706,0.000118,0.267,-10.136,0.217,169.491,0.488,1,5,0
One Of Us,['ABBA'],1981,59,237013,0.478,0.652,0.397,0.000946,0.0679,-15.245,0.0385,82.235,0.858,1,7,0
Fire Woman,['The Cult'],1989,59,311027,0.000272,0.495,0.798,0.000922,0.234,-9.173,0.0387,132.007,0.461,1,7,0
Shattered Dreams - Remastered,['Johnny Hates Jazz'],1988,59,207347,0.0318,0.655,0.72,4.71e-05,0.25,-9.423,0.0312,121.311,0.745,1,10,0
The Imperial March (Darth Vader's Theme),"['John Williams', 'London Symphony Orchestra']",1980,59,179573,0.753,0.577,0.379,0.955,0.126,-13.82,0.0368,103.112,0.284,0,7,0
Hold Me,['Fleetwood Mac'],1988,59,225333,0.247,0.709,0.571,0.014,0.114,-13.25,0.039,124.739,0.779,1,10,0
Voce E Linda - Remixed Original Album,['Caetano Veloso'],1983,59,292307,0.815,0.568,0.458,0.000177,0.109,-9.566,0.0278,95.111,0.449,1,9,0
Pretty in Pink,['The Psychedelic Furs'],1981,59,238107,0.105,0.386,0.916,0.00991,0.325,-5.955,0.0741,135.642,0.775,1,2,0
Gary's Theme - Remastered,['Bill Evans'],1981,59,257693,0.905,0.42,0.0802,0.857,0.135,-21.795,0.04,122.041,0.0541,1,7,0
Tempted,['Squeeze'],1981,59,240333,0.0916,0.729,0.356,0.0905,0.052,-13.743,0.0347,95.026,0.392,0,6,0
Overjoyed,['Stevie Wonder'],1985,59,222586,0.541,0.221,0.264,0.0,0.148,-17.533,0.0332,83.128,0.169,1,10,0
Big in Japan - Single Version; 2019 Remaster,['Alphaville'],1984,59,234693,0.146,0.773,0.608,0.00313,0.13,-8.606,0.0492,97.82,0.335,1,7,0
Rough Boy,['ZZ Top'],1985,59,289160,0.38,0.457,0.48,0.016,0.142,-15.776,0.03,157.967,0.683,1,9,0
Jeanny,['Falco'],1985,59,355989,0.451,0.648,0.66,0.0,0.189,-10.455,0.0454,105.913,0.452,0,9,0
Angel Of Harlem,['U2'],1988,59,229267,0.104,0.519,0.694,2.3e-06,0.111,-10.792,0.0264,102.718,0.928,1,0,0
Baby's Got Her Blue Jeans On,['Mel McDaniel'],1985,59,179653,0.237,0.871,0.714,1.94e-06,0.072,-6.413,0.0307,106.797,0.962,1,10,0
Heaven Knows I'm Miserable Now - 2011 Remaster,['The Smiths'],1984,59,215760,0.028,0.609,0.759,0.0,0.183,-4.862,0.0276,114.045,0.774,1,6,0
Holiday,['Madonna'],1983,59,231560,0.0251,0.813,0.699,0.0135,0.0527,-8.656,0.0458,117.548,0.732,1,7,0
Waiting On A Friend - Remastered 2009,['The Rolling Stones'],1981,59,274227,0.157,0.606,0.794,0.0406,0.568,-6.042,0.0282,116.93,0.911,1,0,0
He Renunciado a Ti - Remasterizado,['José José'],1985,59,234933,0.758,0.655,0.263,0.0,0.118,-15.574,0.0391,87.829,0.379,0,9,0
O Tempo Não Pára - Ao Vivo,['Cazuza'],1988,59,279893,0.0343,0.358,0.766,0.0,0.983,-9.715,0.0603,76.904,0.362,1,2,0
She Works Hard For The Money,['Donna Summer'],1983,59,320840,0.00486,0.758,0.638,0.0141,0.0938,-13.01,0.0378,136.502,0.984,0,8,0
Te Lo Pido por Favor,['Juan Gabriel'],1986,59,218213,0.649,0.64,0.404,0.0,0.263,-7.672,0.0248,89.757,0.429,1,2,0
Costumbres,['Rocío Dúrcal'],1984,59,272400,0.58,0.404,0.126,0.000283,0.233,-16.832,0.0321,172.525,0.36,0,9,0
Ainda É Cedo,['Legião Urbana'],1985,59,237733,0.32,0.612,0.675,0.00093,0.0861,-10.39,0.0388,148.336,0.803,1,2,0
Johnny And Mary,['Robert Palmer'],1980,59,239173,0.0254,0.662,0.569,0.103,0.0247,-12.468,0.0431,152.943,0.97,0,11,0
Dust in the Wind,['Kansas'],1984,59,205600,0.212,0.498,0.251,1.59e-05,0.107,-13.734,0.0299,93.546,0.419,0,9,0
Suddenly,['Billy Ocean'],1984,59,234707,0.735,0.496,0.339,0.0,0.115,-9.512,0.0317,129.486,0.201,0,10,0
Big Log - 2006 Remaster,['Robert Plant'],1983,59,306453,0.315,0.556,0.592,0.00334,0.196,-8.519,0.0287,180.645,0.675,0,9,0
King Of Pain,['The Police'],1983,59,299040,0.389,0.518,0.725,0.000192,0.0671,-8.854,0.0338,124.151,0.646,1,2,0
All My Ex's Live In Texas,['George Strait'],1987,59,200827,0.217,0.764,0.333,1.02e-05,0.11,-15.921,0.0308,130.541,0.738,1,9,0
Pour Some Sugar On Me,['Def Leppard'],1987,59,267307,0.00211,0.267,0.953,0.0,0.283,-4.899,0.096,84.989,0.568,0,1,0
Every Time You Go Away,['Paul Young'],1985,59,324347,0.169,0.608,0.604,0.000133,0.106,-12.285,0.0433,164.254,0.673,1,5,0
Kiss You All Over,['Exile'],1983,59,214400,0.253,0.741,0.267,0.000447,0.0987,-17.204,0.0285,102.428,0.497,1,0,0
Sola Con Mi Soledad,['Marisela'],1989,59,229933,0.615,0.805,0.313,0.0,0.144,-15.552,0.0294,106.754,0.837,1,3,0
Te Amaré,['Miguel Bosé'],1980,59,211733,0.0663,0.452,0.302,0.0,0.116,-17.023,0.0355,149.163,0.381,1,3,0
Urgent,['Foreigner'],1981,59,271200,0.342,0.855,0.803,0.00732,0.0841,-5.849,0.0316,114.867,0.962,0,4,0
Is This Love - 2018 Remaster,['Whitesnake'],1987,59,284496,0.0555,0.263,0.759,0.0,0.231,-7.288,0.0431,179.904,0.429,1,0,0
Seventeen,['Winger'],1988,59,245267,0.000895,0.577,0.676,2.29e-06,0.0625,-11.931,0.0295,95.98,0.676,1,8,0
Sara,['Starship'],1985,59,292800,0.352,0.642,0.805,1.02e-06,0.118,-5.675,0.0336,100.273,0.365,1,10,0
Think of Laura,['Christopher Cross'],1983,59,206640,0.822,0.645,0.211,9.19e-06,0.138,-12.73,0.0257,86.121,0.174,1,11,0
This Cowboy's Hat,['Chris LeDoux'],1982,59,245173,0.403,0.493,0.297,0.0,0.145,-14.838,0.0487,90.273,0.436,0,6,0
Seré,['José José'],1984,59,190707,0.0807,0.584,0.721,0.0,0.366,-6.917,0.0564,129.371,0.687,1,10,0
La groupie du pianiste - Remasterisé en 2002,['Michel Berger'],1980,59,282813,0.527,0.578,0.751,0.0134,0.0484,-8.355,0.0306,102.905,0.667,0,7,0
I Don't Wanna Lose You,['Tina Turner'],1989,59,253173,0.328,0.731,0.7,0.0,0.278,-6.211,0.0275,94.037,0.54,1,1,0
Private Dancer - 2015 Remaster,['Tina Turner'],1984,59,434373,0.363,0.587,0.572,0.0871,0.0915,-9.656,0.0413,115.466,0.471,1,2,0
Hard Habit to Break - 2006 Remaster,['Chicago'],1984,59,283733,0.448,0.584,0.612,0.0,0.171,-5.833,0.0283,81.182,0.402,1,2,0
Orinoco Flow,['Enya'],1988,59,266194,0.797,0.685,0.307,0.28,0.0988,-17.283,0.0305,114.981,0.559,1,0,0
Living Years,['Mike & The Mechanics'],1988,59,330267,0.58,0.518,0.417,0.0,0.0722,-13.268,0.0325,97.63,0.311,1,8,0
Mistral gagnant,['Renaud'],1985,59,165933,0.861,0.362,0.368,4.99e-06,0.0937,-12.878,0.042,82.751,0.393,0,11,0
"An der schönen blauen Donau, Op.314","['Johann Strauss II', 'Berliner Philharmoniker', 'Herbert von Karajan']",1982,59,707173,0.975,0.233,0.0252,0.601,0.143,-24.824,0.0346,94.736,0.0936,1,2,0
Love Will Lead You Back,['Taylor Dayne'],1989,59,277600,0.201,0.547,0.513,0.0,0.0866,-7.006,0.0267,73.214,0.2,1,1,0
One Way Or Another,['Blondie'],1981,59,216400,0.0792,0.47,0.796,7.35e-05,0.292,-12.055,0.0517,161.414,0.909,0,6,0
Slipping Through My Fingers,['ABBA'],1981,59,233720,0.796,0.475,0.26,0.0016,0.109,-15.997,0.0322,137.212,0.339,1,5,0
I Am the Resurrection - Remastered,['The Stone Roses'],1989,59,492947,0.00192,0.356,0.866,0.113,0.0815,-6.324,0.0411,129.743,0.723,1,4,0
It Must Be Love,['Madness'],1981,59,206267,0.103,0.536,0.606,1.08e-05,0.255,-5.364,0.0355,146.425,0.719,1,7,0
Dirty Diana - 2012 Remaster,['Michael Jackson'],1987,59,280760,0.194,0.744,0.815,0.000263,0.303,-4.013,0.0446,131.39,0.347,1,3,0
Big Love - 2017 Remaster,['Fleetwood Mac'],1987,59,223733,0.0291,0.709,0.699,0.295,0.0673,-11.905,0.0466,125.377,0.592,0,10,0
Runaway Train,['Soul Asylum'],1986,59,266067,0.00481,0.616,0.714,0.0,0.133,-7.02,0.0385,117.422,0.53,1,0,0
I Still Haven't Found What I'm Looking For - Remastered 2007,['U2'],1987,59,277480,0.0139,0.565,0.764,0.00488,0.079,-9.43,0.0351,100.891,0.686,1,1,0
